row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
570,ridge_alpha_100000,2210000000.0,14215179.880486475,2195784820.1195135,2195784820.1195135,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,245 PARK AVENUE,10167
108,ridge_alpha_100000,1040000000.0,13426449.263630845,1026573550.7363691,1026573550.7363691,1,FINANCIAL,21 OFFICE BUILDINGS                        ,60 WALL STREET,10005
106,ridge_alpha_100000,652000000.0,8692558.657452252,643307441.3425478,643307441.3425478,1,FINANCIAL,21 OFFICE BUILDINGS                        ,85 BROAD STREET,10004
513,ridge_alpha_100000,620000000.0,20276938.814712025,599723061.185288,599723061.185288,1,KIPS BAY,08 RENTALS - ELEVATOR APARTMENTS           ,460-520 2ND AVENUE,10016
93,ridge_alpha_100000,565000000.0,5901852.758584073,559098147.241416,559098147.241416,1,FASHION,21 OFFICE BUILDINGS                        ,1250 BROADWAY,10001
505,ridge_alpha_100000,330000000.0,5257391.742590673,324742608.25740933,324742608.25740933,1,JAVITS CENTER,21 OFFICE BUILDINGS                        ,433-447 NINTH AVENUE,10001
599,ridge_alpha_100000,268124175.0,1114168.0137530668,267010006.98624694,267010006.98624694,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,1706-1720 BROADWAY,10019
18490,ridge_alpha_100000,257500000.0,2241198.301264562,255258801.69873545,255258801.69873545,4,LONG ISLAND CITY,27 FACTORIES                               ,31-00 47TH   AVENUE,11101
104,ridge_alpha_100000,239114603.0,11276664.008773789,227837938.9912262,227837938.9912262,1,FINANCIAL,08 RENTALS - ELEVATOR APARTMENTS           ,63 WALL STREET,10005
193,ridge_alpha_100000,205961801.0,4534754.408177788,201427046.5918222,201427046.5918222,1,GREENWICH VILLAGE-WEST,21 OFFICE BUILDINGS                        ,95 MORTON STREET,10014
100,ridge_alpha_100000,212500000.0,19010544.856528606,193489455.1434714,193489455.1434714,1,FASHION,25 LUXURY HOTELS                           ,371 7 AVENUE,10001
112,ridge_alpha_100000,203345000.0,10640821.72282645,192704178.27717355,192704178.27717355,1,FINANCIAL,25 LUXURY HOTELS                           ,133 GREENWICH STREET,10006
105,ridge_alpha_100000,182391612.0,8321010.08590359,174070601.91409642,174070601.91409642,1,FINANCIAL,08 RENTALS - ELEVATOR APARTMENTS           ,67 WALL STREET,10005
515,ridge_alpha_100000,174000000.0,3040986.2407311825,170959013.75926882,170959013.75926882,1,KIPS BAY,26 OTHER HOTELS                            ,340 EAST 24TH   STREET,10010
882,ridge_alpha_100000,172500000.0,4080439.837555677,168419560.16244432,168419560.16244432,1,UPPER WEST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,21 WEST 86TH   STREET,10024
7826,ridge_alpha_100000,154250000.0,3792600.194712468,150457399.80528754,150457399.80528754,3,DOWNTOWN-FULTON MALL,11A CONDO-RENTALS                           ,236 LIVINGSTON STREET,11201
155,ridge_alpha_100000,153000000.0,2832352.9528966327,150167647.04710338,150167647.04710338,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,34-42 W 14 STREET,10011
569,ridge_alpha_100000,155000000.0,5680949.708827683,149319050.29117233,149319050.29117233,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,551 MADISON AVENUE,10022
34,ridge_alpha_100000,150000000.0,4229771.5689987205,145770228.43100128,145770228.43100128,1,CHELSEA,21 OFFICE BUILDINGS                        ,119 WEST 25TH   STREET,10001
854,ridge_alpha_100000,145000000.0,2276789.767139312,142723210.23286068,142723210.23286068,1,UPPER WEST SIDE (59-79),26 OTHER HOTELS                            ,305 WEST END AVENUE,10023
58,ridge_alpha_100000,141500000.0,2052055.9821951943,139447944.0178048,139447944.0178048,1,CIVIC CENTER,07 RENTALS - WALKUP APARTMENTS             ,41 WHITE STREET,10013
19873,ridge_alpha_100000,139874900.0,3104626.195674608,136770273.8043254,136770273.8043254,4,REGO PARK,21 OFFICE BUILDINGS                        ,95-25 QUEENS BOULEVARD,11374
44,ridge_alpha_100000,139725000.0,5770643.216223833,133954356.78377616,133954356.78377616,1,CHELSEA,25 LUXURY HOTELS                           ,152 WEST 26TH STREET,10001
7837,ridge_alpha_100000,138106368.0,4723300.922571757,133383067.07742824,133383067.07742824,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS                        ,55 PROSPECT STREET,11201
