k,info_kept,rel_reconstruction_error
266,0.776024,0.473261
267,0.778438,0.470704
268,0.780850,0.468135
269,0.783257,0.465557
270,0.785660,0.462969
271,0.788062,0.460367
272,0.790456,0.457759
273,0.792850,0.455138
274,0.795239,0.452506
275,0.797619,0.449868
276,0.799993,0.447221
277,0.802364,0.444563
278,0.804724,0.441900
279,0.807084,0.439222
280,0.809439,0.436533
281,0.811783,0.433840
282,0.814126,0.431131
283,0.816460,0.428415
284,0.818791,0.425687
285,0.821118,0.422944
286,0.823442,0.420188
287,0.825765,0.417415
288,0.828085,0.414627
289,0.830400,0.411825
290,0.832710,0.409011
291,0.835013,0.406186
292,0.837312,0.403346
293,0.839607,0.400491
294,0.841900,0.397617
295,0.844187,0.394732
296,0.846472,0.391826
297,0.848745,0.388915
298,0.851016,0.385985
299,0.853276,0.383045
300,0.855535,0.380085
301,0.857792,0.377104
302,0.860043,0.374109
303,0.862290,0.371093
304,0.864530,0.368063
305,0.866765,0.365013
306,0.868995,0.361946
307,0.871223,0.358855
308,0.873446,0.355744
309,0.875665,0.352612
310,0.877874,0.349465
311,0.880082,0.346292
312,0.882286,0.343094
313,0.884479,0.339884
314,0.886671,0.336644
315,0.888857,0.333381
316,0.891036,0.330096
317,0.893208,0.326791
318,0.895379,0.323452
319,0.897542,0.320091
320,0.899693,0.316712
321,0.901833,0.313316
322,0.903965,0.309895
323,0.906089,0.306449
324,0.908204,0.302978
325,0.910307,0.299489
326,0.912406,0.295962
327,0.914496,0.292412
328,0.916583,0.288821
329,0.918659,0.285204
330,0.920726,0.281556
331,0.922784,0.277878
332,0.924828,0.274176
333,0.926865,0.270435
334,0.928894,0.266658
335,0.930914,0.262843
336,0.932927,0.258985
337,0.934936,0.255076
338,0.936930,0.251138
339,0.938908,0.247168
340,0.940879,0.243148
341,0.942836,0.239090
342,0.944776,0.234998
343,0.946714,0.230838
344,0.948633,0.226642
345,0.950540,0.222396
346,0.952418,0.218132
347,0.954285,0.213811
348,0.956144,0.209417
349,0.957999,0.204942
350,0.959837,0.200408
351,0.961660,0.195807
352,0.963475,0.191116
353,0.965267,0.186369
354,0.967052,0.181515
355,0.968836,0.176533
356,0.970603,0.171455
357,0.972342,0.166306
358,0.974073,0.161019
359,0.975788,0.155600
360,0.977498,0.150008
361,0.979192,0.144251
362,0.980850,0.138385
363,0.982489,0.132331
364,0.984083,0.126164
365,0.985665,0.119729
366,0.987208,0.113101
