model,alpha,rank,rmse,mae,r2
least_squares,,387,29805297.368498404,987835.3117500467,-1.9774386365480883
ridge_alpha_100,100.0,387,25040115.76984023,947986.4726403708,-1.1014959929503645
ridge_alpha_1000,1000.0,387,8096977.721107164,785639.1894197719,0.7802637088327143
ridge_alpha_10000,10000.0,387,13825470.348880686,891901.4562447539,0.3593575215756193
ridge_alpha_100000,100000.0,387,17087846.863107752,1171689.6541600195,0.021342817022232285
