row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
16731,ridge_alpha_10000,525000.0,66239903.88982385,-65714903.88982385,65714903.88982385,4,GLEN OAKS,10 COOPS - ELEVATOR APARTMENTS             ,26910 GRAND CENTRAL PARKWA,11005
107,ridge_alpha_10000,3288000.0,58839776.076690346,-55551776.076690346,55551776.076690346,1,FINANCIAL,21 OFFICE BUILDINGS                        ,88 PINE STREET,10005
571,ridge_alpha_10000,62750000.0,108547272.91242023,-45797272.91242023,45797272.91242023,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,145 EAST 57TH   STREET,10022
309,ridge_alpha_10000,5020000.0,39808243.63332091,-34788243.63332091,34788243.63332091,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,2300 5 AVENUE,10037
308,ridge_alpha_10000,5020000.0,39808243.63332077,-34788243.63332077,34788243.63332077,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,15 WEST 139TH STREET,10037
307,ridge_alpha_10000,5020000.0,39808243.63332063,-34788243.63332063,34788243.63332063,1,HARLEM-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,30 WEST 141ST STREET,10037
28,ridge_alpha_10000,2341975.0,25747921.78178954,-23405946.78178954,23405946.78178954,1,CHELSEA,08 RENTALS - ELEVATOR APARTMENTS           ,155 WEST 18TH,10011
133,ridge_alpha_10000,11800000.0,31992787.50463006,-20192787.50463006,20192787.50463006,1,GRAMERCY,08 RENTALS - ELEVATOR APARTMENTS           ,153 EAST 26TH   STREET,10010
703,ridge_alpha_10000,8146000.0,25950681.09826683,-17804681.09826683,17804681.09826683,1,SOHO,11A CONDO-RENTALS                           ,25 MERCER STREET,10013
151,ridge_alpha_10000,25001000.0,39665879.7506314,-14664879.7506314,14664879.7506314,1,GREENWICH VILLAGE-CENTRAL,08 RENTALS - ELEVATOR APARTMENTS           ,11-15 WEST 8TH STREET,10011
822,ridge_alpha_10000,7314907.0,20335673.746853106,-13020766.746853106,13020766.746853106,1,UPPER EAST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,512 EAST 81ST   STREET,10028
6174,ridge_alpha_10000,7100000.0,19318358.5629204,-12218358.562920399,12218358.562920399,3,BROOKLYN HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS           ,29 MONROE PLACE,11201
760,ridge_alpha_10000,1500000.0,13114505.314170517,-11614505.314170517,11614505.314170517,1,UPPER EAST SIDE (59-79),07 RENTALS - WALKUP APARTMENTS             ,1472 YORK AVENUE,10075
45,ridge_alpha_10000,4300000.0,13805046.038997015,-9505046.038997015,9505046.038997015,1,CHELSEA,26 OTHER HOTELS                            ,305 WEST 29TH   STREET,10001
506,ridge_alpha_10000,5300000.0,14024796.607117418,-8724796.607117418,8724796.607117418,1,JAVITS CENTER,23 LOFT BUILDINGS                          ,516-520 WEST 34TH   STREET,10001
