model,alpha,rank,rmse,mae,r2
least_squares,,387,9033012.656393984,1428750.933252588,0.7265227911235697
ridge_alpha_100,100.0,387,9042750.336471139,1391902.2323303476,0.7259328508548015
ridge_alpha_1000,1000.0,387,9464207.421422634,1188625.4052856616,0.699790520765462
ridge_alpha_10000,10000.0,387,11755986.473816352,963137.5604241708,0.536794127443306
ridge_alpha_100000,100000.0,387,14677810.976218678,1262405.4488088472,0.2779313622833962
