row,score,flagged
0,51.660358,1
1,53.973729,1
2,51.660412,1
3,53.970223,1
4,74.569618,1
5,55.000435,1
6,87.971715,1
7,54.603710,1
8,55.709160,1
9,56.328715,1
10,52.946462,1
11,27.922924,0
12,27.977256,0
13,27.754090,0
14,32.877361,0
15,28.490439,0
16,32.793960,0
17,28.502865,0
18,32.897240,0
19,32.878076,0
20,32.878076,0
21,32.878076,0
22,28.801444,0
23,30.252217,0
24,30.277301,0
25,30.252282,0
26,28.809625,0
27,52.783878,1
28,39.916870,1
29,76.903997,1
30,35.634837,1
31,32.965174,0
32,37.990822,1
33,47.893340,1
34,89.335171,1
35,37.287348,1
36,31.176500,0
37,31.137896,0
38,31.092476,0
39,33.704846,1
40,31.129097,0
41,75.128777,1
42,75.125169,1
43,95.887786,1
44,117.341581,1
45,76.124356,1
46,38.578556,1
47,45.883646,1
48,88.571894,1
49,57.636054,1
50,57.654208,1
51,62.036653,1
52,61.628746,1
53,58.097979,1
54,58.097537,1
55,58.099921,1
56,58.102094,1
57,89.731233,1
58,64.982008,1
59,69.913815,1
60,69.917929,1
61,68.168384,1
62,68.542089,1
63,68.542089,1
64,97.253070,1
65,56.320180,1
66,54.053118,1
67,54.088766,1
68,54.837992,1
69,56.315507,1
70,57.306863,1
71,93.196901,1
72,59.225511,1
73,113.233588,1
74,90.870188,1
75,43.837071,1
76,43.837819,1
77,43.854108,1
78,45.434262,1
79,44.450327,1
80,47.109160,1
81,44.470083,1
82,44.470083,1
83,45.416651,1
84,45.425015,1
85,45.409103,1
86,56.362314,1
87,47.253357,1
88,45.983820,1
89,45.996445,1
90,48.592160,1
91,48.647299,1
92,62.864808,1
93,75.365034,1
94,62.714662,1
95,102.342052,1
96,132.561367,1
97,102.359068,1
98,106.103520,1
99,106.200747,1
100,127.860442,1
101,106.136485,1
102,52.429034,1
103,49.732434,1
104,83.163504,1
105,79.691809,1
106,81.873455,1
107,78.329109,1
108,90.007386,1
109,78.177005,1
110,56.776019,1
111,108.729948,1
112,111.690413,1
113,57.517915,1
114,87.360397,1
115,72.031270,1
116,72.031270,1
117,60.631186,1
118,71.167219,1
119,71.101765,1
120,80.499101,1
121,59.513223,1
122,58.096372,1
123,92.504724,1
124,47.071405,1
125,46.846825,1
126,47.051814,1
127,46.835105,1
128,46.960816,1
129,50.102897,1
130,73.147599,1
131,50.169953,1
132,48.517867,1
133,54.935062,1
134,50.837202,1
135,53.172960,1
136,103.095878,1
137,37.772392,1
138,38.741687,1
139,38.741700,1
140,38.740696,1
141,38.740610,1
142,37.773564,1
143,36.035875,1
144,36.364288,1
145,36.365823,1
146,36.259995,1
147,40.325614,1
148,40.868649,1
149,37.152907,1
150,40.240145,1
151,46.136441,1
152,50.720435,1
153,42.603407,1
154,56.612343,1
155,44.195432,1
156,38.910407,1
157,38.919017,1
158,150.258009,1
159,30.643914,0
160,27.146201,0
161,27.146201,0
162,29.397284,0
163,30.631396,0
164,29.413714,0
165,29.412049,0
166,27.556390,0
167,27.543914,0
168,27.548184,0
169,27.148609,0
170,27.197080,0
171,27.557846,0
172,27.209035,0
173,27.555410,0
174,27.197655,0
175,27.217580,0
176,27.425702,0
177,27.411021,0
178,28.592861,0
179,28.162868,0
180,29.994535,0
181,28.491569,0
182,32.601253,0
183,32.640885,0
184,30.024214,0
185,32.480778,0
186,28.523528,0
187,28.561640,0
188,32.578575,0
189,30.023305,0
