row_id,model,sale_price,predicted_price,residual,absolute_residual,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ADDRESS,ZIP CODE
93,ridge_alpha_100,565000000.0,62807118.24346096,502192881.75653905,502192881.75653905,1,FASHION,21 OFFICE BUILDINGS                        ,1250 BROADWAY,10001
106,ridge_alpha_100,652000000.0,311343823.6759413,340656176.3240587,340656176.3240587,1,FINANCIAL,21 OFFICE BUILDINGS                        ,85 BROAD STREET,10004
599,ridge_alpha_100,268124175.0,1206437.3202255513,266917737.67977446,266917737.67977446,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,1706-1720 BROADWAY,10019
18490,ridge_alpha_100,257500000.0,33714072.88740781,223785927.1125922,223785927.1125922,4,LONG ISLAND CITY,27 FACTORIES                               ,31-00 47TH   AVENUE,11101
513,ridge_alpha_100,620000000.0,453321791.9909481,166678208.00905192,166678208.00905192,1,KIPS BAY,08 RENTALS - ELEVATOR APARTMENTS           ,460-520 2ND AVENUE,10016
58,ridge_alpha_100,141500000.0,13422185.454365958,128077814.54563405,128077814.54563405,1,CIVIC CENTER,07 RENTALS - WALKUP APARTMENTS             ,41 WHITE STREET,10013
7826,ridge_alpha_100,154250000.0,34539814.89381909,119710185.1061809,119710185.1061809,3,DOWNTOWN-FULTON MALL,11A CONDO-RENTALS                           ,236 LIVINGSTON STREET,11201
573,ridge_alpha_100,131667000.0,25264367.04527193,106402632.95472807,106402632.95472807,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,727 5TH AVENUE,10022
502,ridge_alpha_100,124700000.0,18860950.25854666,105839049.74145333,105839049.74145333,1,JAVITS CENTER,21 OFFICE BUILDINGS                        ,504-514 WEST 34TH   STREET,10001
15012,ridge_alpha_100,125000000.0,20768406.996833153,104231593.00316685,104231593.00316685,4,ELMHURST,08 RENTALS - ELEVATOR APARTMENTS           ,90-02 QUEENS BOULEVARD,11373
882,ridge_alpha_100,172500000.0,72160741.36191005,100339258.63808995,100339258.63808995,1,UPPER WEST SIDE (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,21 WEST 86TH   STREET,10024
515,ridge_alpha_100,174000000.0,77143923.22684667,96856076.77315333,96856076.77315333,1,KIPS BAY,26 OTHER HOTELS                            ,340 EAST 24TH   STREET,10010
39,ridge_alpha_100,107250000.0,11284885.264952164,95965114.73504783,95965114.73504783,1,CHELSEA,22 STORE BUILDINGS                         ,258 8 AVENUE,10011
113,ridge_alpha_100,93550000.0,2170698.107448346,91379301.89255166,91379301.89255166,1,FINANCIAL,26 OTHER HOTELS                            ,52 WILLIAM STREET,10005
46,ridge_alpha_100,92007576.0,2027632.3330060767,89979943.66699392,89979943.66699392,1,CHELSEA,26 OTHER HOTELS                            ,216-222 WEST 23RD   STREET,10011
155,ridge_alpha_100,153000000.0,65948358.86721711,87051641.13278289,87051641.13278289,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,34-42 W 14 STREET,10011
2186,ridge_alpha_100,110000000.0,23036016.0696239,86963983.9303761,86963983.9303761,2,KINGSBRIDGE HTS/UNIV HTS,32 HOSPITAL AND HEALTH FACILITIES          ,100 WEST KINGSBRIDGE RD,10468
7843,ridge_alpha_100,135000000.0,54639676.99754738,80360323.00245261,80360323.00245261,3,DOWNTOWN-METROTECH,26 OTHER HOTELS                            ,90 SANDS STREET,11201
