model,alpha,rank,rmse,mae,r2
least_squares,,390,10341775.671553526,1268392.0759723317,0.6303387880864075
ridge_alpha_100,100.0,390,10345111.41210767,1251478.3342730266,0.6301002811215866
ridge_alpha_1000,1000.0,390,10500216.925305724,1148417.2522374447,0.618925227079268
ridge_alpha_10000,10000.0,390,11828901.507537441,987399.8721689024,0.5163819648384901
ridge_alpha_100000,100000.0,390,14457807.76840251,1246262.6295208635,0.2775321111486728
