k,info_kept,rel_reconstruction_error
266,0.779556,0.469515
267,0.781980,0.466926
268,0.784402,0.464325
269,0.786817,0.461717
270,0.789231,0.459096
271,0.791640,0.456465
272,0.794046,0.453821
273,0.796447,0.451169
274,0.798838,0.448511
275,0.801228,0.445839
276,0.803612,0.443157
277,0.805989,0.440467
278,0.808360,0.437767
279,0.810725,0.435057
280,0.813087,0.432335
281,0.815441,0.429603
282,0.817783,0.426869
283,0.820124,0.424118
284,0.822462,0.421353
285,0.824795,0.418575
286,0.827126,0.415782
287,0.829456,0.412970
288,0.831778,0.410149
289,0.834098,0.407310
290,0.836408,0.404465
291,0.838716,0.401602
292,0.841021,0.398722
293,0.843322,0.395826
294,0.845617,0.392916
295,0.847907,0.389990
296,0.850189,0.387054
297,0.852465,0.384103
298,0.854737,0.381134
299,0.857007,0.378144
300,0.859274,0.375134
301,0.861536,0.372108
302,0.863794,0.369061
303,0.866044,0.365999
304,0.868292,0.362916
305,0.870534,0.359814
306,0.872771,0.356692
307,0.875006,0.353545
308,0.877236,0.350377
309,0.879458,0.347192
310,0.881677,0.343981
311,0.883890,0.340749
312,0.886097,0.337495
313,0.888295,0.334222
314,0.890489,0.330925
315,0.892678,0.327601
316,0.894856,0.324259
317,0.897032,0.320886
318,0.899199,0.317492
319,0.901359,0.314072
320,0.903515,0.310621
321,0.905659,0.307149
322,0.907790,0.303661
323,0.909916,0.300140
324,0.912036,0.296587
325,0.914137,0.293024
326,0.916235,0.289422
327,0.918326,0.285786
328,0.920407,0.282122
329,0.922480,0.278424
330,0.924539,0.274702
331,0.926590,0.270942
332,0.928638,0.267136
333,0.930669,0.263307
334,0.932692,0.259437
335,0.934712,0.255515
336,0.936718,0.251559
337,0.938704,0.247580
338,0.940684,0.243549
339,0.942650,0.239479
340,0.944605,0.235361
341,0.946552,0.231188
342,0.948491,0.226956
343,0.950409,0.222691
344,0.952306,0.218390
345,0.954177,0.214063
346,0.956044,0.209657
347,0.957896,0.205193
348,0.959741,0.200647
349,0.961577,0.196018
350,0.963400,0.191311
351,0.965211,0.186519
352,0.967008,0.181636
353,0.968791,0.176661
354,0.970564,0.171570
355,0.972331,0.166341
356,0.974066,0.161042
357,0.975789,0.155598
358,0.977510,0.149966
359,0.979211,0.144184
360,0.980884,0.138260
361,0.982535,0.132155
362,0.984143,0.125925
363,0.985711,0.119536
364,0.987274,0.112809
365,0.988774,0.105952
366,0.990223,0.098879
367,0.991656,0.091344
368,0.993071,0.083240
369,0.994458,0.074443
370,0.995775,0.064999
371,0.996950,0.055229
372,0.997769,0.047235
373,0.998476,0.039043
374,0.999044,0.030924
375,0.999522,0.021855
376,0.999703,0.017236
377,0.999813,0.013678
378,0.999903,0.009866
379,0.999950,0.007036
380,0.999965,0.005875
381,0.999977,0.004800
382,0.999987,0.003564
383,0.999993,0.002654
384,0.999996,0.002075
385,0.999998,0.001334
386,1.000000,0.000092
387,1.000000,0.000000
388,1.000000,0.000000
389,1.000000,0.000000
390,1.000000,0.000000
391,1.000000,0.000000
392,1.000000,0.000000
393,1.000000,0.000000
394,1.000000,0.000000
395,1.000000,0.000000
396,1.000000,0.000000
397,1.000000,0.000000
398,1.000000,0.000000
399,1.000000,0.000000
400,1.000000,0.000000
401,1.000000,0.000000
402,1.000000,0.000000
403,1.000000,0.000000
404,1.000000,0.000000
405,1.000000,0.000000
406,1.000000,0.000000
